, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
0,BBC,0.0,Mon Jan 08 07:04:28 +0000 2018,0.0,1.0,0.0,1
1,BBC,0.5719,Mon Jan 08 07:04:27 +0000 2018,0.0,0.85,0.15,2
2,BBC,-0.6597,Mon Jan 08 07:04:27 +0000 2018,0.306,0.694,0.0,3
3,BBC,0.7906,Mon Jan 08 07:04:26 +0000 2018,0.0,0.75,0.25,4
4,BBC,0.0,Mon Jan 08 07:04:25 +0000 2018,0.0,1.0,0.0,5
5,BBC,0.5994,Mon Jan 08 07:04:25 +0000 2018,0.075,0.717,0.208,6
6,BBC,-0.5423,Mon Jan 08 07:04:25 +0000 2018,0.218,0.691,0.091,7
7,BBC,0.5719,Mon Jan 08 07:04:24 +0000 2018,0.0,0.575,0.425,8
8,BBC,0.5719,Mon Jan 08 07:04:23 +0000 2018,0.0,0.85,0.15,9
9,BBC,0.6369,Mon Jan 08 07:04:23 +0000 2018,0.0,0.755,0.245,10
10,BBC,0.6369,Mon Jan 08 07:04:23 +0000 2018,0.0,0.802,0.198,11
11,BBC,-0.4404,Mon Jan 08 07:04:22 +0000 2018,0.253,0.642,0.106,12
12,BBC,0.5106,Mon Jan 08 07:04:22 +0000 2018,0.092,0.683,0.225,13
13,BBC,-0.4767,Mon Jan 08 07:04:22 +0000 2018,0.256,0.744,0.0,14
14,BBC,0.0,Mon Jan 08 07:04:20 +0000 2018,0.0,1.0,0.0,15
15,BBC,0.5719,Mon Jan 08 07:04:20 +0000 2018,0.0,0.85,0.15,16
16,BBC,-0.2263,Mon Jan 08 07:04:19 +0000 2018,0.087,0.913,0.0,17
17,BBC,0.0,Mon Jan 08 07:04:19 +0000 2018,0.0,1.0,0.0,18
18,BBC,0.3612,Mon Jan 08 07:04:19 +0000 2018,0.0,0.898,0.102,19
19,BBC,0.0,Mon Jan 08 07:04:18 +0000 2018,0.0,1.0,0.0,20
20,BBC,0.5719,Mon Jan 08 07:04:18 +0000 2018,0.0,0.85,0.15,21
21,BBC,0.5719,Mon Jan 08 07:04:18 +0000 2018,0.0,0.85,0.15,22
22,BBC,-0.2617,Mon Jan 08 07:04:18 +0000 2018,0.127,0.785,0.088,23
23,BBC,-0.6486,Mon Jan 08 07:04:18 +0000 2018,0.374,0.485,0.141,24
24,BBC,-0.3595,Mon Jan 08 07:04:18 +0000 2018,0.161,0.839,0.0,25
25,BBC,-0.2732,Mon Jan 08 07:04:17 +0000 2018,0.123,0.877,0.0,26
26,BBC,0.0,Mon Jan 08 07:04:17 +0000 2018,0.0,1.0,0.0,27
27,BBC,0.0,Mon Jan 08 07:04:16 +0000 2018,0.0,1.0,0.0,28
28,BBC,0.5267,Mon Jan 08 07:04:15 +0000 2018,0.094,0.644,0.262,29
29,BBC,-0.1027,Mon Jan 08 07:04:15 +0000 2018,0.123,0.877,0.0,30
30,BBC,0.0,Mon Jan 08 07:04:15 +0000 2018,0.0,1.0,0.0,31
31,BBC,0.0,Mon Jan 08 07:04:15 +0000 2018,0.0,1.0,0.0,32
32,BBC,-0.25,Mon Jan 08 07:04:14 +0000 2018,0.233,0.631,0.136,33
33,BBC,0.836,Mon Jan 08 07:04:13 +0000 2018,0.0,0.683,0.317,34
34,BBC,0.0,Mon Jan 08 07:04:13 +0000 2018,0.0,1.0,0.0,35
35,BBC,0.0,Mon Jan 08 07:04:12 +0000 2018,0.0,1.0,0.0,36
36,BBC,0.2023,Mon Jan 08 07:04:12 +0000 2018,0.0,0.625,0.375,37
37,BBC,0.0,Mon Jan 08 07:04:12 +0000 2018,0.0,1.0,0.0,38
38,BBC,-0.3818,Mon Jan 08 07:04:12 +0000 2018,0.11,0.89,0.0,39
39,BBC,0.0,Mon Jan 08 07:04:12 +0000 2018,0.0,1.0,0.0,40
40,BBC,-0.4215,Mon Jan 08 07:04:11 +0000 2018,0.104,0.896,0.0,41
41,BBC,0.0,Mon Jan 08 07:04:10 +0000 2018,0.0,1.0,0.0,42
42,BBC,0.5106,Mon Jan 08 07:04:10 +0000 2018,0.092,0.683,0.225,43
43,BBC,0.5719,Mon Jan 08 07:04:09 +0000 2018,0.0,0.85,0.15,44
44,BBC,-0.6597,Mon Jan 08 07:04:09 +0000 2018,0.306,0.694,0.0,45
45,BBC,0.6908,Mon Jan 08 07:04:09 +0000 2018,0.065,0.651,0.284,46
